x1,x2,doc_id,topic_n
-0.3487954344396413,0.07475189490958352,0,0
-0.1711316222332081,0.24169494525465854,1,2
-0.16449792305648755,-0.24437546389674486,2,5
0.09752337569373899,-0.2364978114855362,3,7
-0.07235720526221062,-0.34506252280550975,4,5
-0.032447088485865444,0.025958837706525354,5,2
-0.060667490303447376,-0.14313283466760923,6,4
0.03773926498554465,-0.1329955697706556,7,0
-0.10119006915814016,-0.315454864506891,8,5
-0.1018558557269947,-0.3587069082173338,9,5
-0.37005327587282144,0.11579721816743098,10,8
-0.1418739017245444,-0.22008197265500673,11,5
0.2657519638614185,-0.03754772527583156,12,8
-0.11732720443435071,-0.27775832586716637,13,5
0.311347038230073,-0.1916923903202388,14,1
-0.08019443510202245,0.13572334034298064,15,2
-0.2338208455882985,-0.1727097045699052,16,4
0.09527787521044805,-0.1655390573117413,17,1
-0.26368821736617487,0.07350504254911028,18,8
-0.1478269527416744,-0.34304202818512985,19,5
-0.19937038047975325,-0.11244100995206477,20,4
-0.04118149237995145,-0.05131411605297845,21,4
0.3089740166871373,-0.2755572169714034,22,1
-0.024995528390480738,-0.14723688895679135,23,5
0.0627684903232739,0.20113970658125943,24,3
-0.19207043610712882,-0.18915013840471973,25,5
-0.19470101154181776,-0.18328093143962415,26,4
-0.1677445504827514,-0.31869698927678536,27,5
-0.09253346327426917,-0.1407857385060282,28,5
-0.06802446825603019,-0.22418546972459083,29,5
-0.10307717642421543,-0.12456794364352744,30,5
0.0367509902707869,0.0031662030959031047,31,9
0.028676327630387712,0.07445694620216928,32,2
0.033929318062665775,-0.2834251419733265,33,1
-0.18170090645416673,-0.3666910514452606,34,5
-0.024599936591630452,0.05707348296125639,35,2
-0.044537939210005546,-0.18707206967285503,36,5
0.03418291763836474,0.20240202445865788,37,3
-0.2901426083728276,0.03835261005443495,38,8
-0.16644961352849322,-0.4182491277949392,39,5
-0.19082580223733067,-0.4330869439111767,40,5
-0.15102487370754017,-0.2577577237637123,41,5
0.0065419047916037785,-0.08037449101988438,42,2
-0.039471872168336794,0.0010074705347206025,43,0
-0.11023660116951776,-0.34724891970979155,44,5
0.11687273907418733,0.14360737651676905,45,3
-0.1251239358575454,-0.10579425128225439,46,5
-0.0411577530625346,-0.2589529520897255,47,5
0.12638634506255625,-0.12433119551721926,48,7
-0.18453524370818114,-0.20921526708896476,49,6
